1,Jumanji,2,1995,3.4018691588785046
2,Grumpier Old Men,3,1995,3.1610169491525424
3,Waiting to Exhale,4,1995,2.3846153846153846
4,Father of the Bride Part II,5,1995,3.267857142857143
5,Heat,6,1995,3.8846153846153846
6,Sabrina,7,1995,3.2830188679245285
7,Tom and Huck,8,1995,3.8
8,Sudden Death,9,1995,3.15
9,GoldenEye,10,1995,3.450819672131148
10,The American President,11,1995,3.6890243902439024
11,Dracula: Dead and Loving It,12,1995,2.861111111111111
12,Balto,13,1995,3.9375
13,Nixon,14,1995,3.4516129032258065
14,Cutthroat Island,15,1995,2.3181818181818183
15,Casino,16,1995,3.948863636363636
16,Sense and Sensibility,17,1995,3.924418604651162
17,Four Rooms,18,1995,3.2884615384615383
18,Ace Ventura: When Nature Calls,19,1995,2.597826086956522
19,Tangled Ever After,19,2012,2.597826086956522
20,Money Train,20,1995,2.5384615384615383
21,Get Shorty,21,1995,3.536842105263158
22,Copycat,22,1995,3.3552631578947367
23,Assassins,23,1995,3.090909090909091
24,Powder,24,1995,3.044117647058824
25,Leaving Las Vegas,25,1995,3.742574257425743
26,Othello,26,1995,4.1
27,Now and Then,27,1995,3.142857142857143
28,Persuasion,28,1995,4.083333333333333
29,The City of Lost Children,29,1995,4.025
30,Shanghai Triad,30,1995,4.05
31,Dangerous Minds,31,1995,3.1785714285714284
32,Twelve Monkeys,32,1995,3.923469387755102
33,Babe,34,1995,3.601351351351352
34,Carrington,35,1995,3.5454545454545454
35,Dead Man Walking,36,1995,3.9375
36,Across the Sea of Time,37,1995,2.0
37,It Takes Two,38,1995,2.0
38,Clueless,39,1995,3.55
39,"Cry, the Beloved Country",40,1995,3.9166666666666665
40,Richard III,41,1995,4.021739130434782
41,Dead Presidents,42,1995,2.333333333333333
42,Restoration,43,1995,3.625
43,Mortal Kombat,44,1995,2.6973684210526314
44,To Die For,45,1995,3.5232558139534884
45,How To Make An American Quilt,46,1995,3.1666666666666665
46,Se7en,47,1995,4.034825870646766
47,Pocahontas,48,1995,2.9262295081967213
48,When Night Is Falling,49,1995,4.0
49,The Usual Suspects,50,1995,4.370646766169155
50,Mighty Aphrodite,52,1995,3.637254901960784
51,Lamerica,53,1994,5.0
52,The Big Green,54,1995,3.6666666666666665
53,Georgia,55,1995,3.333333333333333
54,Home for the Holidays,57,1995,3.142857142857143
55,The Postman,58,1994,4.0
56,The Confessional,59,1995,4.0
57,The Indian in the Cupboard,60,1995,2.828125
58,Eye for an Eye,61,1996,3.571428571428572
59,Mr. Holland's Opus,62,1995,3.689655172413793
60,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,63,1996,2.833333333333333
61,Two If by Sea,64,1996,2.4
62,Bio-Dome,65,1996,2.025
63,Lawnmower Man 2: Beyond Cyberspace,66,1996,2.0
64,French Twist,68,1995,3.5
65,Friday,69,1995,3.8181818181818175
66,From Dusk Till Dawn,70,1996,3.020833333333333
67,Fair Game,71,1995,2.4285714285714284
68,Kicking and Screaming,72,1995,3.1666666666666665
69,Les Miserables,73,1995,4.115384615384615
70,Bed of Roses,74,1996,3.026315789473684
71,Screamers,76,1995,3.333333333333333
72,Nico Icon,77,1995,4.0
73,The Crossing Guard,78,1995,3.2
74,The Juror,79,1996,2.9615384615384617
75,The White Balloon,80,1995,4.625
76,Things to Do in Denver When You're Dead,81,1995,3.25
77,Antonia's Line,82,1995,3.8
78,Once Upon a Time... When We Were Colored,83,1996,3.0
79,Last Summer in the Hamptons,84,1995,4.0
80,Angels and Insects,85,1995,4.0625
81,White Squall,86,1996,3.764705882352941
82,Dunston Checks In,87,1996,1.6666666666666667
83,Black Sheep,88,1996,2.891304347826087
84,Nick of Time,89,1995,3.4411764705882355
85,Mary Reilly,92,1996,3.5416666666666665
86,Vampire in Brooklyn,93,1995,2.227272727272727
87,Beautiful Girls,94,1996,3.5681818181818183
88,Broken Arrow,95,1996,3.177419354838709
89,A Midwinter's Tale,96,1995,1.0
90,La Haine,97,1995,3.875
91,Shopping,98,1994,3.0
92,Heidi Fleiss: Hollywood Madam,99,1995,2.75
93,City Hall,100,1996,3.4285714285714284
94,Bottle Rocket,101,1996,3.882352941176471
95,Mr. Wrong,102,1996,2.590909090909091
96,Unforgettable,103,1996,4.0
97,Happy Gilmore,104,1996,3.292553191489361
98,The Bridges of Madison County,105,1995,3.114583333333333
99,Muppet Treasure Island,107,1996,3.462962962962963
100,Catwalk,108,1995,4.0
101,Braveheart,110,1995,3.945175438596491
102,Taxi Driver,111,1976,4.22457627118644
103,Rumble in the Bronx,112,1995,3.295918367346939
104,Before and After,113,1996,3.2
105,Margaret's Museum,114,1995,3.0
106,Anne Frank Remembered,116,1995,4.75
107,The Young Poisoner's Handbook,117,1995,3.0
108,If Lucy Fell,118,1996,2.8
109,Steal Big Steal Little,119,1995,3.0
110,The Boys of St. Vincent,121,1992,3.8
111,Boomerang,122,1992,3.0526315789473686
112,Chungking Express,123,1994,4.0
113,The Star Maker,124,1995,3.0
114,Flirting with Disaster,125,1996,3.7142857142857135
115,The Neverending Story III: Escape from Fantasia,126,1994,2.7
116,Pie in the Sky,129,1996,3.0
117,Angela,130,1995,4.5
118,Frankie Starlight,131,1995,2.0
119,Jade,132,1995,2.875
120,Down Periscope,135,1996,3.0
121,Man of the Year,137,1995,1.0
122,Up Close & Personal,140,1996,3.4782608695652173
123,The Birdcage,141,1996,3.5806451612903225
124,The Brothers McMullen,144,1995,3.326923076923077
125,Bad Boys,145,1995,3.2790697674418605
126,The Amazing Panda Adventure,146,1995,4.333333333333333
127,The Basketball Diaries,147,1995,3.642857142857143
128,An Awfully Big Adventure,148,1995,4.0
129,Amateur,149,1994,4.333333333333333
130,Apollo 13,150,1995,3.9025
131,Rob Roy,151,1995,3.5625
132,The Addiction,152,1995,3.8333333333333335
133,Batman Forever,153,1995,2.7829457364341086
134,Belle de Jour,154,1967,3.8125
135,Beyond Rangoon,155,1995,3.055555555555556
136,Blue in the Face,156,1995,3.954545454545455
137,Canadian Bacon,157,1995,2.375
138,Casper,158,1995,2.8706896551724137
139,Clockers,159,1995,3.9375
140,Congo,160,1995,2.3412698412698414
141,Crimson Tide,161,1995,3.83125
142,Crumb,162,1994,4.136363636363637
143,Desperado,163,1995,3.515873015873016
144,Devil in a Blue Dress,164,1995,3.5576923076923075
145,Die Hard: With a Vengeance,165,1995,3.443661971830986
146,The Doom Generation,166,1995,3.0
147,Feast of July,167,1995,4.0
148,First Knight,168,1995,3.116279069767442
149,Free Willy 2 - The Adventure Home,169,1995,2.5625
150,Lethal Seduction,169,2015,2.5625
151,Hackers,170,1995,3.2884615384615383
152,Jeffrey,171,1995,4.333333333333333
153,Johnny Mnemonic,172,1995,2.5729166666666665
154,Judge Dredd,173,1995,2.5642857142857145
155,Jury Duty,174,1995,2.25
156,Kids,175,1995,3.9565217391304346
157,Living in Oblivion,176,1995,3.7777777777777777
158,Lord of Illusions,177,1995,2.8846153846153846
159,Love & Human Remains,178,1993,4.7
160,Mad Love,179,1995,3.5
161,Mallrats,180,1995,3.3068181818181817
162,Mighty Morphin Power Rangers: The Movie,181,1995,1.8
163,Walesa: Man of Hope,181,2013,1.8
164,Walesa: Man of Hope,181,2013,1.8
165,Mute Witness,183,1995,5.0
166,Nadja,184,1994,4.5
167,The Net,185,1995,3.1029411764705883
168,Nine Months,186,1995,2.875
169,Party Girl,187,1995,2.833333333333333
170,The Prophecy,188,1995,3.125
171,Reckless,189,1995,4.0
172,Safe,190,1995,3.8333333333333335
173,The Scarlet Letter,191,1995,3.0
174,Showgirls,193,1995,2.3142857142857145
175,Smoke,194,1995,4.291666666666667
176,Something to Talk About,195,1995,3.2142857142857144
177,Species,196,1995,2.809090909090909
178,Strange Days,198,1995,3.441860465116279
179,The Umbrellas of Cherbourg,199,1964,3.333333333333333
180,The Tie That Binds,200,1995,4.0
181,Three Wishes,201,1995,4.0
182,Total Eclipse,202,1995,3.0
183,"To Wong Foo, Thanks for Everything! Julie Newmar",203,1995,3.3043478260869565
184,Under Siege 2: Dark Territory,204,1995,3.0
185,Unstrung Heroes,205,1995,4.0
186,Unzipped,206,1995,3.6
187,A Walk in the Clouds,207,1995,3.375
188,Waterworld,208,1995,2.752212389380531
189,White Man's Burden,209,1995,2.6
190,The Browning Version,211,1994,3.333333333333333
191,Burnt by the Sun,213,1994,4.222222222222222
192,Before the Rain,214,1994,3.0
193,Before Sunrise,215,1995,3.7222222222222223
194,Billy Madison,216,1995,3.023809523809524
195,The Babysitter,217,1995,2.7142857142857144
196,Boys on the Side,218,1995,3.333333333333333
197,The Cure,219,1995,4.25
198,Castle Freak,220,1995,3.0
199,Circle of Friends,222,1995,3.9318181818181817
200,Clerks,223,1994,3.963302752293578
201,Don Juan DeMarco,224,1994,3.6
202,Disclosure,225,1994,3.173076923076923
203,Drop Zone,227,1994,3.15625
204,Destiny Turns on the Radio,228,1995,2.0
205,Death and the Maiden,229,1994,4.083333333333333
206,Dolores Claiborne,230,1995,3.7
207,Dumb and Dumber,231,1994,3.1107594936708862
208,Eat Drink Man Woman,232,1994,4.208333333333333
209,Exotica,233,1994,4.269230769230769
210,Exit to Eden,234,1994,2.75
211,Ed Wood,235,1994,3.9038461538461537
212,French Kiss,236,1995,3.3583333333333334
